address,propertyType,bedrooms,transactions,lat,lon,detailsUrl
"9, Harvard Road, London, Greater London SE13 6SE",TERRACED,3,"[{'displayPrice': '£650,000', 'dateSold': '27 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£555,000', 'dateSold': '5 Jun 2020', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£249,995', 'dateSold': '31 Mar 2006', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£245,000', 'dateSold': '1 Oct 2004', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£177,995', 'dateSold': '29 May 2002', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.45294,-0.00983,https://www.rightmove.co.uk/house-prices/details/england-148644515-21782956?s=208b5cd9fc059e5857bb64f34814837cf3bbf9a83ced507239e80cb04d309ed0
"18, Strathnairn Street, London, Greater London SE1 5BL",TERRACED,3,"[{'displayPrice': '£690,000', 'dateSold': '26 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£452,500', 'dateSold': '28 Jun 2019', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£200,000', 'dateSold': '17 Oct 2005', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.49103,-0.06651,https://www.rightmove.co.uk/house-prices/details/england-142106624-21782284?s=53c8d01f1b276a74062b168d030ed295f42e2d2e0e2a6e55accccb25f8f824a1
"Garden Flat, 21, Stanley Road, Teddington, Greater London TW11 8TP",FLAT,,"[{'displayPrice': '£645,000', 'dateSold': '26 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£599,950', 'dateSold': '14 May 2021', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£520,000', 'dateSold': '6 May 2016', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£285,000', 'dateSold': '29 Jun 2007', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.42817,-0.34234,https://www.rightmove.co.uk/house-prices/details/england-21828184?s=6873faaea54408c80f25567414fe44d8cf5ae832174a8500aa56d3f534f615a2
"10a, Crown Road, St Margarets, Twickenham, Greater London TW1 3EE",FLAT,3,"[{'displayPrice': '£433,333', 'dateSold': '26 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£355,000', 'dateSold': '10 Mar 2006', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£135,000', 'dateSold': '9 Oct 2000', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.45437,-0.31966,https://www.rightmove.co.uk/house-prices/details/england-124053326-21827965?s=e2fd13c896a812f5c13d834e289ed7cb18ed04300fa077a7f51c28349d2ce0fc
"16, Beaulieu Close, Twickenham, Greater London TW1 2JR",FLAT,3,"[{'displayPrice': '£825,000', 'dateSold': '26 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£315,000', 'dateSold': '29 Jun 2010', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.45311,-0.30689,https://www.rightmove.co.uk/house-prices/details/england-147835322-21827932?s=1b403ac0b5de2e550b8a25889aa5d0955687114e31a7615605acf74eebea71ff
"32, Hillside Grove, London, Greater London N14 6HE",TERRACED,2,"[{'displayPrice': '£480,000', 'dateSold': '26 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£116,240', 'dateSold': '14 Jul 1998', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.63462,-0.12616,https://www.rightmove.co.uk/house-prices/details/england-143341067-21715642?s=c2bacf4f7c8a604b8681bd0682a622a6c777ce39636fbdb5b7100e8619008b4b
"Penthouse 4, Rear Building 47-49, Tudor Road, London, Greater London E9 7SN",FLAT,,"[{'displayPrice': '£750,000', 'dateSold': '26 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£450,000', 'dateSold': '11 Sep 2013', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.53877,-0.0554,https://www.rightmove.co.uk/house-prices/details/england-21652435?s=5ed4498b3bbcc6e0933b9b6b67ce91faebc3f3c6599b02a03b776445820de55a
"Flat 20, Fitzroy Court, Shepherds Hill, London, Greater London N6 5RD",FLAT,2,"[{'displayPrice': '£700,000', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£650,000', 'dateSold': '7 Jan 2015', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.57842,-0.13771,https://www.rightmove.co.uk/house-prices/details/england-150093512-21717427?s=f6a1bc58258c8f4ffeb2fa46d47376d7f991f352c2951a91e95c4127f33811ab
"14, Silverhall Street, Isleworth, Greater London TW7 6RF",TERRACED,3,"[{'displayPrice': '£638,940', 'dateSold': '25 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£399,950', 'dateSold': '19 Jan 2012', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£107,500', 'dateSold': '1 Mar 1995', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.47004,-0.32714,https://www.rightmove.co.uk/house-prices/details/england-145513100-21829768?s=ec7504b1a121c58082039edb8a73d1a2f256fbada51ca4080c3d0a23b4e658a3
"69, Sandycombe Road, Richmond, Greater London TW9 2EP",TERRACED,3,"[{'displayPrice': '£916,500', 'dateSold': '25 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£780,000', 'dateSold': '26 Nov 2019', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£665,000', 'dateSold': '20 May 2016', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£157,500', 'dateSold': '9 Jul 1999', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.46974,-0.28785,https://www.rightmove.co.uk/house-prices/details/england-83781230-21829933?s=d1743f3626156cfb2280e280d4975a4fef32a466a63056f2614c52dc91d9e14e
